,,,,,,,,
,,,,,,,,
Type of resource,Name of source,Phone,Address,Appointment needed,eligibility criteria,Hours of operation,Days of Operation,URL
nutrition information,Asotin County Aging & Disability Resource Center,509-758-2355,744 5th St #C Clarkston,can call at this time,"WA resident, 60 +",8:30am-5pm,M-F,https://www.dshs.wa.gov/ALTSA/resources?field_counties_value=Asotin
outreach,Asotin County Aging & Disability Resource Center,509-758-2355,744 5th St #C Clarkston,can call at this time,"WA resident, 60 +",8:30am-5pm,M-F,https://www.dshs.wa.gov/ALTSA/resources?field_counties_value=Asotin
prepared meals,Lewiston Senor Nutrition Program,208-746-2313,1213 Burrell Ave Lewiston,n,fees may apply,,M-W,https://www.cityoflewiston.org/527/Senior-Nutrition
,,,1424 Main St Lewiston,n,fees may apply,,M-W,https://www.cityoflewiston.org/527/Senior-Nutrition
,,,delivery,y,fees may apply,,M-W,https://www.cityoflewiston.org/527/Senior-Nutrition
,Nez Perce County SS,208-799-3094 or 208-799-3095,1225 Idaho St Lewiston,y,,5-6pm,"Mon, Wed, Fri",https://www.co.nezperce.id.us/Elected-Officials/Clerk-Auditor/Social-Services
,Salvation Army,208-746-9653,"1220 21St Lewiston, ID",y,,5-6pm,M-W & Friday,https://lewiston.salvationarmy.org 
,Senior Round Table,509-758-3816,549 5th St Clarkston,n,,12-,"T, Th, F",n/a
,Valley Meals on wheels,208-799-6676,delivery,y,"senior, disabled, fee may apply",,S-S,https://www.valleymealslewiston.com/
prescription assistance,YWCA,208-743-1535,300 Main St Lewiston,n,abuse eligibility,10am-3pm ,M-F (1-3 W),https://ywcaidaho.org 
referral,Idaho careline 211,2-1-1 or 800-926-2588,,n,,,,https://211-idaho.communityos.org
,Washington 211,877-211-9274,,,,,,https://wa211.org/
school health,North Central Idaho Health District,208-799-3100,215 10th St Lewiston,,,8am-5pm,M-F,https://idahopublichealth.com/
services for delayed/disabled children & adults,Id. Dept. H&W,211,1118 F St. Lewiston ,y,eligibility,8am-5pm,Mon-Fri,www.healthandwelfare.idaho.gov 
,Wa SHS,509-751-4601 or 877-501-2233,525 5th St Clarkston,y,eligibility,8am-5pm,Mon-Fri,https://www.dshs.wa.gov/
STD/HIV/AIDS program,Asotin County health district,phone disconnected,431 Elm St Clarkston,,,7:30a-5:30p,M0Th,http://www.asotincountypublichealth.org/
,North Central Idaho Health District,208-799-3100,215 10th St Lewiston,,,8am-5pm,M-F,https://idahopublichealth.com/
Substance abuse treatment/referral,Id. Dept. H&W,211,1118 F St. Lewiston ,y,eligibility,8am-5pm,Mon-Fri,www.healthandwelfare.idaho.gov 
,Riverside Recovery,208-746-4097,1720 18th Ave Lewiston,,,8:30am-5:30p.m.,M-F,https://www.riversiderecovery.net/
,Wa SHS,509-751-4601 or 877-501-2233,525 5th St Clarkston,y,eligibility,8am-5pm,Mon-Fri,https://www.dshs.wa.gov/
Substance Abuse/ Mental Health,Nez Perce Recovery & Resource Center,208-595-1467,714 Main St Lewiston,,,10am-6:30pm,M-Sat,https://id.medicalhomeportal.org/services/provider/32486
Teen Homeless resource,LC Valley Youth Resource Center,208-717-5566,1633 10th Avenue Lewiston,n,ages 12-17,2:30-7PM; some overnight,Sun-Sat,https://lcvyrc.org
temporary housing funds,First Step 4 life,208-717-3881,"903 D St, Ste 201 Lewiston",,limited funds,,,https://www.fs4lidaho.org
,Id. Dept. H&W,211,1118 F St. Lewiston ,y,"sufficiency plan, children",8am-5pm,Mon-Fri,www.healthandwelfare.idaho.gov 
,Nez Perce County SS,208-799-3094 or 208-799-3095,1225 Idaho St Lewiston,y,application,8am-12pm; 1-5pm,Mon-Fri,https://www.co.nezperce.id.us/Elected-Officials/Clerk-Auditor/Social-Services
,Quality Behavioral health,509-758-3341,900 7th St Clarkston,call,,8am-5pm,M-F,http://www.qbhs.org/
,Salvation Army,208-746-9653,"1220 21St Lewiston, ID",y,,1-4:30pm,Tues-Fri,https://lewiston.salvationarmy.org 
,Wa SHS,509-751-4601 or 877-501-2233,525 5th St Clarkston,y,"eligibility , funds",8am-5pm,Mon-Fri,https://www.dshs.wa.gov/
temporary shelter,Family Promise,208-798-3349,720 16th Ave #41 Lewiston,y,"family, eligibility",8am-5pm,M-F,https://www.familypromicelc.org
,YWCA,208-743-1535,300 Main St Lewiston,n,abuse eligibility,10am-3pm ,M-F (1-3 W),https://ywcaidaho.org 
Transportation,Appaloosa express,208-621-4691,44335 Hwy 12 Lapwai,info on websiteo-closures on phone,,5:30a-7p,M-F,https://www.nezperce.org
,Asotin County Public Transportation,509-758-3567,733 5th St Ste C Clarkston,y for dial-a-ride only,"voucher, card or fee",6am-7pm; 9a-3p,M-F; S,https://ridethevalley.org/
,Community Action Partnership,208-746-3351,124 New 6th Street,y,vouchers/tokens every  6 mo need based,9am-4pm,Mon-Fri,www.cap4action.org 
,Interlink Volunteer,509-751-9143,,,"elderly, disabled",9am-12pm,M-Th,http://interlinkvolunteers.org/
,Lewiston Transit System,208-298-1341,215 D St Lewiston,,"voucher, card or fee",,,https://ridethevalley.org/
,Salvation Army,208-746-9653,"1220 21St Lewiston, ID",y,,1-4:30pm,Tues-Fri,https://lewiston.salvationarmy.org 
,St. Vincent Society,509-758-8361,601 2nd   Clarkston WA ,y,,12:15 -3:15 pm,"Monday, Tues, Wed",https://www.svdpusa.org/
utility assistance,Community Action Partnership,208-746-3351,124 New 6th Street,n,"income, seasonal",9am-4pm,Mon-Fri,www.cap4action.org 
,Id. Dept. H&W,211,1118 F St. Lewiston ,y,"sufficiency plan, children",8am-5pm,Mon-Fri,www.healthandwelfare.idaho.gov 
,Idaho Housing & Finance,208 743-0251 or 866-566-1727,2338 Nez Perce Dr. Lewiston,y or phone,low income-1x/life,8am-5p.m.,M-F,https://www.idahohousing.com
,Salvation Army,208-746-9653,"1220 21St Lewiston, ID",y,availability of funds,1-4:30pm,Tues-Fri,https://lewiston.salvationarmy.org 
,St. Vincent Society,509-758-8361,601 2nd   Clarkston WA ,y,"Washington residents, availability of funds",12:15 -3:15 pm,"Monday, Tues, Wed",https://www.svdpusa.org/
,Wa SHS,509-751-4601 or 877-501-2233,525 5th St Clarkston,y,"eligibility, funds",8am-5pm,Mon-Fri,https://www.dshs.wa.gov/
Veteran Medical,Veterans Affairs,800-827-1000,,,veteran,,,http://www.veterans.idaho.gov
Veteran Support,Nez Perce Tribes of Idaho,208-843-2463,,,veteran,8am-4:30pm,M-F,https://nezperce.org/
weatherization,Community Action Partnership,208-746-3351,124 New 6th Street,n,"income, seasonal",9am-4pm,Mon-Fri,www.cap4action.org 
WIC,Asotin County health district,phone disconnected,431 Elm St Clarkston,,,7:30a-5:30p,M0Th,http://www.asotincountypublichealth.org/
,North Central Idaho Health District,208-799-3100,215 10th St Lewiston,,,8am-5pm,M-F,https://idahopublichealth.com/
Grand Total,,,,,,,,
